model,variant,split,horizon_hours,fit_time_seconds,inference_time_seconds,feature_count,Accuracy,Balanced Accuracy,Macro-F1,Weighted-F1,Precision,Recall,Specificity,ROC-AUC,PR-AUC,False Positive Rate,False Negative Rate,Brier Score,Expected Calibration Error,MAE,RMSE,sMAPE,MAPE_safe,R2,normalized_RMSE,ramp_MAE,pinball_loss,interval_coverage_probability,mean_prediction_interval_width,interval_calibration_error,uncertainty_error_correlation,component_removed
B-TGPRF,Complete B-TGPRF,validation,1,6.934561729431152,0.08742499351501465,27,0.9876331272187869,0.9291667975749992,0.9263677825827331,0.9876734267383633,0.8533735393893706,0.865112724493695,0.9932208706563034,0.997103410914661,0.9447095270763988,0.006779129343696629,0.1348872755063049,0.00858004194423573,0.0015058387891929953,0.3269396313470481,0.4959815986843936,0.08792763083401543,0.17974706729122675,0.9967860778933775,0.056691464136039385,0.3269396313470481,0.059897134225816495,0.8999983333055551,1.535927792943429,1.6666944449017507e-06,0.02607429438737797,None
B-TGPRF,Complete B-TGPRF,external_test,1,6.934561729431152,0.09350395202636719,27,0.9804163402723379,0.9204553248642386,0.9075304188970564,0.9807159951642277,0.7994244604316547,0.8531941031941032,0.9877165465343742,0.994540825068379,0.9190301085730771,0.012283453465625717,0.14680589680589676,0.013540847049624173,0.00456143928375608,0.37952428166834207,0.5644165995036029,0.11520149213915135,0.2302680781057716,0.996013251637079,0.06314070289463869,0.37952428166834207,0.0689005025434475,0.8615976932948882,1.535927792943429,0.0384023067051118,0.05339095604373743,None
B-TGPRF,Without graph features,validation,1,14.7935049533844,0.2815589904785156,23,0.9874331238853981,0.9279681655884948,0.9251769650503784,0.9874740751492265,0.8511119487372786,0.8628200229270157,0.9931163082499739,0.9970689296931623,0.9445277276512,0.006883691750026141,0.1371799770729843,0.00861756148379315,0.0019651814177446643,0.3261172188930419,0.49427636883970716,0.08777544842253823,0.17992591450190207,0.9968081394163127,0.05649655372637868,0.3261172188930419,0.059698789028497075,0.8999983333055551,1.5339463561495064,1.6666944449017507e-06,-0.04821916526997039,Graph-neighborhood representation
B-TGPRF,Without graph features,external_test,1,14.7935049533844,0.23487305641174316,23,0.9794829913831897,0.9247386547284773,0.9047453980739846,0.9799625292471577,0.7814845704753962,0.8633292383292384,0.9861480711277162,0.994063636896233,0.9154100969480957,0.013851928872283805,0.13667076167076164,0.01416716167931343,0.005509105184972287,0.3787554008532572,0.5633472420197811,0.11517255327174947,0.2314172413841627,0.9960283441080099,0.06302107497576896,0.3787554008532572,0.06874475288309793,0.8614310238503975,1.5339463561495064,0.03856897614960253,-0.09154903325402736,Graph-neighborhood representation
B-TGPRF,Without topology features,validation,1,12.303864002227783,0.3635132312774658,23,0.9875997933298888,0.9289670255772484,0.9261693129940073,0.9876402014735072,0.8529966076140219,0.8647306075659151,0.9932034435885818,0.997065839834766,0.9439270550461425,0.006796556411418215,0.13526939243408478,0.008633778130405277,0.0014823698072831816,0.32827629020693844,0.5006665062434502,0.08815254621826761,0.1802525127239844,0.996725075469743,0.057226956318752235,0.32827629020693844,0.06049659962166817,0.8999983333055551,1.541026770077418,1.6666944449017507e-06,0.04740553039998942,Topology-aware line features
B-TGPRF,Without topology features,external_test,1,12.303864002227783,0.2046222686767578,23,0.9800830013833564,0.9210028466423528,0.9063489553006785,0.9804278636523107,0.7940085592011412,0.8547297297297297,0.9872759635549759,0.9944862880401184,0.9182001853373691,0.012724036445024055,0.14527027027027023,0.013686810917264192,0.004943774071702401,0.3796269584501497,0.5656030197381126,0.11517176283200438,0.22748663746086714,0.9959964734977118,0.0632734265026992,0.3796269584501497,0.06892890719619335,0.8621310355172587,1.5410267700774178,0.03786896448274135,0.09433193226041343,Topology-aware line features
B-TGPRF,Without operating-regime features,validation,1,10.691013097763062,0.2073061466217041,22,0.987199786663111,0.9265697616042397,0.9237876779292978,0.9872414982952332,0.8484734263098379,0.8601452044325564,0.9929943187759228,0.996926256813554,0.9414646475312872,0.0070056812240772365,0.1398547955674436,0.00882510281711256,0.001749365757147955,0.32689128447302757,0.4955048590690151,0.087981361792926,0.18177352468710353,0.9967922533950999,0.056636972060367316,0.32689128447302757,0.05984056903190865,0.8999983333055551,1.5360774930166523,1.6666944449017507e-06,0.026864642718798914,Operating-regime awareness
B-TGPRF,Without operating-regime features,external_test,1,10.691013097763062,0.2111818790435791,22,0.9811996866614443,0.9197114649130758,0.9104402996573544,0.9814066669238178,0.8118405627198124,0.8507371007371007,0.9886858290890507,0.9946877654458325,0.9200574413994289,0.011314170910949368,0.14926289926289923,0.013192858328615187,0.004200474388246828,0.37980806040066734,0.5645197018569409,0.11540988103088853,0.2309516475086263,0.9960117949801292,0.06315223684857552,0.37980806040066734,0.06889754766779209,0.8616143602393374,1.5360774930166523,0.03838563976066267,0.05921409331500863,Operating-regime awareness
B-TGPRF,Temporal-only representation,validation,1,8.42651081085205,0.21940302848815918,16,0.9873997899964999,0.927768393590744,0.9249784954616527,0.9874408498843703,0.8507350169619299,0.8624379059992358,0.9930988811822523,0.9970549920344915,0.944292269243999,0.006901118817747726,0.1375620940007642,0.00862691587109588,0.0013595031371369344,0.3342578880430818,0.505885770279553,0.09044941070310857,0.19737666674681284,0.996656439808525,0.057823526273573324,0.3342578880430818,0.060955010151117206,0.8999983333055551,1.5649857532810736,1.6666944449017507e-06,0.06704880956609,Graph and operating-regime context
B-TGPRF,Temporal-only representation,external_test,1,8.42651081085205,0.18958091735839844,16,0.9814663577726296,0.9241949812857237,0.9122553574941497,0.9817261246961888,0.8101851851851852,0.85995085995086,0.9884391026205875,0.9946698444354544,0.9224152509902861,0.011560897379412438,0.14004914004914001,0.01306986865080541,0.0037762695337691557,0.3614006053138868,0.5360988315545635,0.10983044351299162,0.21015025578470545,0.9964032604527783,0.059972823398744796,0.3614006053138868,0.06453613465317029,0.8811646860781013,1.5649857532810736,0.018835313921898744,0.10891963182646754,Graph and operating-regime context
