model,split,inference_time_seconds,Accuracy,Balanced Accuracy,Macro-F1,Weighted-F1,Precision,Recall,Specificity,ROC-AUC,PR-AUC,False Positive Rate,False Negative Rate,Brier Score,Expected Calibration Error,fit_time_seconds,model_group,MAE,RMSE,sMAPE,MAPE_safe,R2,normalized_RMSE,ramp_MAE,interval_coverage_probability,mean_prediction_interval_width,pinball_loss_q05,pinball_loss_q95,interval_calibration_error,variant,horizon_hours,feature_count,pinball_loss,uncertainty_error_correlation
Persistence risk baseline,validation,0.0002667903900146,0.9809830163836064,0.8888564216986532,0.8866705107623878,0.9810364326819632,0.7787009063444109,0.7879251050821552,0.9897877383151512,0.8888564216986532,0.6228081476282256,0.0102122616848489,0.2120748949178448,0.0190169836163936,0.0190169836163936,,Persistence,,,,,,,,,,,,,,,,,
Persistence risk baseline,test,0.0002079010009765,0.9810663511058516,0.9319421637948238,0.9345406854629512,0.9810093242140135,0.8851828094932649,0.8736020257438278,0.9902823018458198,0.931942163794824,0.7832809952519245,0.0097176981541802,0.1263979742561721,0.0189336488941482,0.0189336488941482,,Persistence,,,,,,,,,,,,,,,,,
Persistence risk baseline,external_test,0.0001561641693115,0.9802163369389488,0.9013872047384992,0.903196334031643,0.9801717235361662,0.8207751937984497,0.812960687960688,0.9898137215163104,0.9013872047384992,0.6774081353809408,0.0101862784836896,0.1870393120393119,0.019783663061051,0.019783663061051,,Persistence,,,,,,,,,,,,,,,,,
Seasonal previous-day risk baseline,validation,0.0003032684326171,0.9582159702661712,0.7544179414652165,0.7519815609446872,0.958415751368928,0.5205992509363296,0.5311425296140619,0.977693353316371,0.7544179414652165,0.2969627438965219,0.022306646683629,0.4688574703859379,0.0417840297338288,0.0417840297338288,,Classical ML,,,,,,,,,,,,,,,,,
Seasonal previous-day risk baseline,test,0.000180959701538,0.9527158785979768,0.836779397774086,0.8372673516876965,0.9526816113844327,0.7013124470787468,0.699092635577126,0.974466159971046,0.8367793977740859,0.5140494297757046,0.025533840028954,0.3009073644228739,0.0472841214020233,0.0472841214020233,,Classical ML,,,,,,,,,,,,,,,,,
Seasonal previous-day risk baseline,external_test,0.0002069473266601,0.9572492874881248,0.7915378168933673,0.7916644705222453,0.9572400006223388,0.606209652628343,0.6056511056511057,0.9774245281356292,0.7915378168933673,0.3885519030433398,0.0225754718643709,0.3943488943488942,0.0427507125118752,0.0427507125118752,,Classical ML,,,,,,,,,,,,,,,,,
Bayesian Ridge risk approximation,validation,0.0618660449981689,0.96489941499025,0.8622133685200726,0.8161336986973038,0.9670935914650628,0.5748608262525637,0.7497134123041651,0.97471332473598,0.981578177672638,0.6922038580056139,0.02528667526402,0.2502865876958348,0.0391417327904813,0.0654196622579029,,Bayesian baseline,,,,,,,,,,,,,,,,,
Bayesian Ridge risk approximation,test,0.0564522743225097,0.9397156619276988,0.658120659176284,0.7135087439672483,0.9278651925976252,0.7882836587872559,0.3236969824857565,0.9925443358668116,0.9769783380099538,0.7398021076393172,0.0074556641331885,0.6763030175142434,0.0400864696542805,0.0363328916519318,,Bayesian baseline,,,,,,,,,,,,,,,,,
Bayesian Ridge risk approximation,external_test,0.0533151626586914,0.9110151835863932,0.8254289237681462,0.7111166215762915,0.9253417144681828,0.3475779306307625,0.7294226044226044,0.921435243113688,0.9532801153838112,0.6168317196396749,0.0785647568863119,0.2705773955773955,0.0556797726538039,0.0918029919537578,,Bayesian baseline,,,,,,,,,,,,,,,,,
Gaussian Naive Bayes,validation,0.0760352611541748,0.8803313388556476,0.9195670237366518,0.672862631210622,0.9106563938815544,0.2623685032809082,0.9625525410775696,0.8765815063957338,0.9727008513505484,0.5777622955074432,0.1234184936042661,0.0374474589224302,0.1132845985360737,0.1166364197378006,1.2752468585968018,Bayesian baseline,,,,,,,,,,,,,,,,,
