model,split,inference_time_seconds,Accuracy,Balanced Accuracy,Macro-F1,Weighted-F1,Precision,Recall,Specificity,ROC-AUC,PR-AUC,False Positive Rate,False Negative Rate,Brier Score,Expected Calibration Error,fit_time_seconds
Persistence risk baseline,validation,0.00026679039001464844,0.9809830163836064,0.8888564216986532,0.8866705107623878,0.9810364326819632,0.7787009063444109,0.7879251050821552,0.9897877383151511,0.8888564216986532,0.6228081476282256,0.010212261684848907,0.2120748949178448,0.019016983616393607,0.019016983616393604,
Persistence risk baseline,test,0.0002079010009765625,0.9810663511058517,0.9319421637948238,0.9345406854629512,0.9810093242140135,0.8851828094932649,0.8736020257438278,0.9902823018458198,0.9319421637948239,0.7832809952519245,0.009717698154180238,0.12639797425617216,0.018933648894148235,0.01893364889414824,
Persistence risk baseline,external_test,0.00015616416931152344,0.9802163369389489,0.9013872047384992,0.903196334031643,0.9801717235361662,0.8207751937984497,0.812960687960688,0.9898137215163104,0.9013872047384991,0.6774081353809408,0.010186278483689618,0.18703931203931198,0.01978366306105102,0.01978366306105102,
Seasonal previous-day risk baseline,validation,0.0003032684326171875,0.9582159702661711,0.7544179414652165,0.7519815609446872,0.9584157513689279,0.5205992509363296,0.5311425296140619,0.977693353316371,0.7544179414652165,0.2969627438965219,0.022306646683629014,0.46885747038593795,0.041784029733828894,0.041784029733828894,
Seasonal previous-day risk baseline,test,0.00018095970153808594,0.9527158785979767,0.836779397774086,0.8372673516876965,0.9526816113844327,0.7013124470787468,0.699092635577126,0.974466159971046,0.8367793977740859,0.5140494297757046,0.025533840028954036,0.30090736442287397,0.047284121402023364,0.04728412140202337,
Seasonal previous-day risk baseline,external_test,0.00020694732666015625,0.9572492874881248,0.7915378168933673,0.7916644705222453,0.9572400006223387,0.606209652628343,0.6056511056511057,0.9774245281356291,0.7915378168933673,0.38855190304333986,0.022575471864370936,0.39434889434889425,0.0427507125118752,0.042750712511875205,
Bayesian Ridge risk approximation,validation,0.061866044998168945,0.9648994149902499,0.8622133685200726,0.8161336986973038,0.9670935914650629,0.5748608262525637,0.7497134123041651,0.9747133247359799,0.981578177672638,0.6922038580056139,0.025286675264020075,0.25028658769583484,0.039141732790481394,0.06541966225790291,
Bayesian Ridge risk approximation,test,0.056452274322509766,0.9397156619276988,0.658120659176284,0.7135087439672483,0.9278651925976252,0.7882836587872559,0.3236969824857565,0.9925443358668115,0.9769783380099538,0.7398021076393172,0.007455664133188563,0.6763030175142434,0.04008646965428052,0.03633289165193185,
Bayesian Ridge risk approximation,external_test,0.053315162658691406,0.9110151835863931,0.8254289237681462,0.7111166215762915,0.9253417144681828,0.3475779306307625,0.7294226044226044,0.9214352431136881,0.9532801153838111,0.6168317196396749,0.07856475688631197,0.2705773955773955,0.05567977265380398,0.09180299195375788,
Gaussian Naive Bayes,validation,0.0760352611541748,0.8803313388556476,0.9195670237366518,0.672862631210622,0.9106563938815545,0.2623685032809082,0.9625525410775697,0.8765815063957338,0.9727008513505485,0.5777622955074432,0.12341849360426614,0.03744745892243025,0.11328459853607378,0.11663641973780069,1.2752468585968018
Gaussian Naive Bayes,test,0.07331180572509766,0.8877481291354856,0.9153318021573017,0.7535022745393989,0.9066761943200777,0.4091240211254781,0.9480903144123233,0.8825732899022801,0.9707862225011317,0.6873755434756539,0.11742671009771986,0.05190968558767672,0.10743971762106196,0.10965322148048641,1.2752468585968018
Gaussian Naive Bayes,external_test,0.07946300506591797,0.858614310238504,0.9080253234322899,0.6722743483373007,0.8925733082022418,0.2727588905312581,0.9634520884520884,0.8525985584124914,0.9657411037636352,0.5798954318379509,0.1474014415875086,0.03654791154791154,0.13624143325153198,0.13906409591254776,1.2752468585968018
Logistic Regression,validation,0.0456540584564209,0.9783829730495508,0.9593410128478577,0.889855694840193,0.9799876225430277,0.6837416481069042,0.938479174627436,0.9802028510682792,0.9950253546188528,0.9034988803215811,0.01979714893172075,0.06152082537256398,0.016109499591911425,0.019916840923861798,3.6003258228302
