model,model_group,external_test,test,validation,external_minus_test_MAE,absolute_external_shift
B-TGPRF,Proposed,0.3650275095691107,0.4101793416820612,0.3492059765951439,-0.04515183211295054,0.04515183211295054
ElasticNet,Classical ML,0.5032402248786875,0.5369305719099444,0.4902549858319133,-0.03369034703125695,0.03369034703125695
ExtraTreesRegressor,Tree ensemble,0.3748018683063728,0.4021877490907857,0.384038327816091,-0.027385880784412897,0.027385880784412897
GRU,Neural temporal,1.2926876251224777,1.3989343155657001,1.3235491281465428,-0.10624669044322244,0.10624669044322244
Graph WaveNet-inspired compact,Graph-temporal,1.829349684271022,1.9784587298127776,1.8299942354398284,-0.14910904554175564,0.14910904554175564
HistGradientBoostingRegressor,Boosting,0.3846447108211995,0.4216333493326064,0.3970180848117024,-0.03698863851140688,0.03698863851140688
LSTM,Neural temporal,1.3431967687071888,1.4591936135521553,1.3476231286651714,-0.11599684484496642,0.11599684484496642
PatchTST-style compact,Neural temporal,2.960250646567188,3.1568492951365115,2.897522531880486,-0.1965986485693234,0.1965986485693234
Persistence forecast,Persistence,0.806777763412859,0.8908820815229239,0.793397480886497,-0.08410431811006491,0.08410431811006491
Quantile Gradient Boosting conformal,Boosting,0.4348577950836329,0.4576472833207713,0.4390567009852377,-0.02278948823713839,0.02278948823713839
RandomForestRegressor,Tree ensemble,0.3854963928301854,0.4121545283746361,0.3938162214384317,-0.026658135544450734,0.026658135544450734
Ridge,Classical ML,0.5059687746345574,0.5470848733821119,0.4971105209449989,-0.04111609874755451,0.04111609874755451
STGCN-inspired compact,Graph-temporal,2.771671361514489,2.9792768682419557,2.657858367631114,-0.2076055067274667,0.2076055067274667
Seasonal persistence forecast,Persistence,1.7734220899866877,1.809477713134883,1.7541575089849537,-0.036055623148195215,0.036055623148195215
TCN,Neural temporal,2.800350300817,3.0255402435292775,2.815466593335243,-0.22518994271227744,0.22518994271227744
TFT-inspired compact attention,Neural temporal,1.7811764943279447,1.8532125536868957,1.7455624744041143,-0.07203605935895108,0.07203605935895108
Transformer Encoder,Neural temporal,2.843390129201822,3.0681148880101894,2.752199744940686,-0.2247247588083674,0.2247247588083674
XGBoost Regressor,Boosting,0.4314733593802438,0.4560420101669258,0.4302725746641335,-0.024568650786682023,0.024568650786682023
