labels,long_label_detected,many_categories_detected,horizontal_layout,legend_checked
12,False,True,True,True
13,True,True,True,True
30,False,True,True,True
36,True,True,True,True
9,True,True,True,True
8,True,True,True,True
18,True,True,True,True
18,True,True,True,True
18,True,True,True,True
20,True,True,True,True
20,True,True,True,True
2,True,False,True,True
29,True,True,True,True
2,True,False,True,True
2,False,False,True,True
10,True,True,True,True
10,True,True,True,True
9,True,True,True,True
9,True,True,True,True
6,True,False,True,True
18,True,True,True,True
3,False,False,False,True
3,False,False,False,True
8,False,True,True,True
18,True,True,True,True
