model,variant,split,horizon_hours,fit_time_seconds,inference_time_seconds,feature_count,Accuracy,Balanced Accuracy,Macro-F1,Weighted-F1,Precision,Recall,Specificity,ROC-AUC,PR-AUC,False Positive Rate,False Negative Rate,Brier Score,Expected Calibration Error,MAE,RMSE,sMAPE,MAPE_safe,R2,normalized_RMSE,ramp_MAE,pinball_loss,interval_coverage_probability,mean_prediction_interval_width,interval_calibration_error,uncertainty_error_correlation,component_removed
B-TGPRF,Complete B-TGPRF,external_test,1,24.903462171554565,0.3261158466339111,27,0.9797996633277222,0.8746774813514324,0.8959805124424085,0.979220730853496,0.8543689320388349,0.7567567567567568,0.992598205946108,0.9931458440944192,0.9035237745565298,0.0074017940538921,0.2432432432432431,0.0147191209208759,0.0063946741884017,0.3650275095691107,0.5477591380099959,0.1101344280014856,0.2146076165945358,0.9962450986491896,0.0612772498564542,0.3650275095691107,0.0677946380205327,0.8493641560692679,1.389125940077834,0.0506358439307321,-0.0208352777529322,No component removed
B-TGPRF,Without graph features,external_test,1,14.7935049533844,0.2348730564117431,23,0.9794829913831896,0.9247386547284772,0.9047453980739846,0.9799625292471577,0.7814845704753962,0.8633292383292384,0.9861480711277162,0.994063636896233,0.9154100969480956,0.0138519288722838,0.1366707616707616,0.0141671616793134,0.0055091051849722,0.3787554008532572,0.5633472420197811,0.1151725532717494,0.2314172413841627,0.99602834410801,0.0630210749757689,0.3787554008532572,0.0687447528830979,0.8614310238503975,1.5339463561495064,0.0385689761496025,-0.0915490332540273,Graph-neighborhood representation
B-TGPRF,Without topology features,external_test,1,12.303864002227783,0.2046222686767578,23,0.9800830013833564,0.9210028466423528,0.9063489553006784,0.9804278636523108,0.7940085592011412,0.8547297297297297,0.987275963554976,0.9944862880401184,0.9182001853373692,0.012724036445024,0.1452702702702702,0.0136868109172641,0.0049437740717024,0.3796269584501497,0.5656030197381126,0.1151717628320043,0.2274866374608671,0.9959964734977118,0.0632734265026992,0.3796269584501497,0.0689289071961933,0.8621310355172587,1.5410267700774178,0.0378689644827413,0.0943319322604134,Topology-aware line features
B-TGPRF,Without operating-regime features,external_test,1,10.691013097763062,0.2111818790435791,22,0.9811996866614444,0.9197114649130758,0.9104402996573544,0.9814066669238178,0.8118405627198124,0.8507371007371007,0.9886858290890508,0.9946877654458324,0.9200574413994288,0.0113141709109493,0.1492628992628992,0.0131928583286151,0.0042004743882468,0.3798080604006673,0.5645197018569409,0.1154098810308885,0.2309516475086263,0.9960117949801292,0.0631522368485755,0.3798080604006673,0.068897547667792,0.8616143602393374,1.5360774930166523,0.0383856397606626,0.0592140933150086,Operating-regime awareness
B-TGPRF,Temporal-only representation,external_test,1,8.42651081085205,0.1895809173583984,16,0.9814663577726296,0.9241949812857236,0.9122553574941497,0.9817261246961888,0.8101851851851852,0.85995085995086,0.9884391026205877,0.9946698444354544,0.922415250990286,0.0115608973794124,0.14004914004914,0.0130698686508054,0.0037762695337691,0.3614006053138868,0.5360988315545635,0.1098304435129916,0.2101502557847054,0.9964032604527784,0.0599728233987447,0.3614006053138868,0.0645361346531702,0.8811646860781013,1.5649857532810736,0.0188353139218987,0.1089196318264675,Graph and operating-regime context
B-TGPRF,Without residual correction,external_test,1,1.6326470375061035,0.0375940799713134,27,0.9796163269387824,0.9180058512883706,0.9040211250068682,0.9799556308236554,0.7908440629470672,0.8488943488943489,0.9871173536823924,0.994103343490052,0.9134786192082034,0.0128826463176074,0.151105651105651,0.0141346528295068,0.0055158746780182,0.3689758629623386,0.5623561049510832,0.1113542159917857,0.2120971406081464,0.9960423070503718,0.0629101974940691,0.3689758629623386,0.0679409523700895,0.9068817813630228,1.8159879995139183,0.0068817813630226,0.053419727022991,Residual correction
B-TGPRF,Without calibration,external_test,1,9.08406400680542,0.1633942127227783,27,0.9786663111051852,0.8986859574751473,0.8966189804792382,0.9787215711359148,0.8001215066828675,0.808968058968059,0.9884038559822356,0.9929462610872652,0.9058683735802856,0.0115961440177643,0.191031941031941,0.0256707168292586,0.0786345534434086,0.379524281668342,0.5644165995036029,0.1152014921391513,0.2302680781057716,0.996013251637079,0.0631407028946386,0.379524281668342,0.0689005025434475,0.8615976932948882,1.535927792943429,0.0384023067051118,0.0533909560437374,Probability calibration
B-TGPRF,Without Bayesian uncertainty layer,external_test,1,9.747271299362184,0.2105720043182373,27,0.9805496758279304,0.9164727903096512,0.9073307406181164,0.9807624736783304,0.8062151861624157,0.8445945945945946,0.988350986024708,0.9950183758825352,0.9255536700266908,0.0116490139752921,0.1554054054054053,0.0135734498666349,0.0059396614488853,0.379524281668342,0.5644165995036029,0.1152014921391513,0.2302680781057716,0.996013251637079,0.0631407028946386,0.379524281668342,0.0689005025434475,0.8615976932948882,1.535927792943429,0.0384023067051118,0.0533909560437374,Bayesian posterior risk layer
B-TGPRF,Graph-temporal deterministic architecture,external_test,1,12.321162939071655,0.1729269027709961,27,0.979332988883148,0.9145267802139576,0.9022921888583944,0.9796366577835216,0.7908251586843624,0.8418304668304668,0.9872230935974482,0.9939618535678842,0.914744417806706,0.0127769064025518,0.1581695331695331,0.0184629494887997,0.0509439416273182,0.379524281668342,0.5644165995036029,0.1152014921391513,0.2302680781057716,0.996013251637079,0.0631407028946386,0.379524281668342,0.0689005025434475,0.8615976932948882,1.535927792943429,0.0384023067051118,0.0533909560437374,Bayesian and calibration layers
B-TGPRF,Bayesian baseline risk layer only,external_test,1,1.5928430557250977,0.0166420936584472,4,0.9800330005500092,0.9166338818443482,0.9053632289327874,0.9803020050748332,0.7984338747099768,0.8455159705159705,0.987751793172726,0.9940217544503536,0.9161458081262396,0.0122482068272738,0.1544840294840294,0.0138454668421235,0.0041579743649003,0.3689758629623386,0.5623561049510832,0.1113542159917857,0.2120971406081464,0.9960423070503718,0.0629101974940691,0.3689758629623386,0.0679409523700895,0.9068817813630228,1.8159879995139183,0.0068817813630226,0.053419727022991,Temporal-graph residual and interval components
