model,model_group,Macro-F1,Brier Score,Expected Calibration Error,MAE,latency_per_sample_ms,throughput_samples_per_second,test_MAE,external_MAE,external_stability_score
B-TGPRF,Proposed,0.9135517727931768,0.0093713993498088,0.0040237251164407,0.3492059765951439,0.0085128096950521,117470.028794515,0.4101793416820612,0.3650275095691107,0.9567987820279964
Bayesian Ridge risk approximation,Bayesian baseline,0.8161336986973038,0.0391417327904813,0.0654196622579029,,0.0010311179352684,969821.1676821404,,,
ElasticNet,Classical ML,,,,0.4902549858319133,0.0011090026358532,901711.1120124704,0.5369305719099444,0.5032402248786875,0.96740769890324
Extra Trees,Tree ensemble,0.8354875006615796,0.0273855016744997,0.0511121393345931,,0.0027331807764016,365874.07925375394,,,
ExtraTreesRegressor,Tree ensemble,,,,0.384038327816091,0.0089969028462791,111149.36073957635,0.4021877490907857,0.3748018683063728,0.973344114128273
GRU,Neural temporal,0.8194266651150162,0.028100231091647002,0.04778404752986428,1.3235491281465428,0.0031846497749856,314006.27091074706,1.3989343155657001,1.2926876251224777,0.9039575066202872
Gaussian Naive Bayes,Bayesian baseline,0.672862631210622,0.1132845985360737,0.1166364197378006,,0.0012672754738274,789094.4160544346,,,
Graph WaveNet-inspired compact,Graph-temporal,0.715839147032417,0.02603181528088604,0.030310371568328574,1.8299942354398284,0.0025302275520306,395221.3701876113,1.9784587298127776,1.829349684271022,0.8702394293037201
HistGradientBoostingClassifier,Boosting,0.904413693108635,0.0136700248117915,0.0192395374149551,,0.0037638417351104,265685.9853249521,,,
HistGradientBoostingRegressor,Boosting,,,,0.3970180848117024,0.0033398429883194,299415.27296263474,0.4216333493326064,0.3846447108211995,0.9643307196070114
LSTM,Neural temporal,0.8291102585905921,0.02453211530044927,0.04104650990052857,1.3476231286651714,0.0022673706612659,441039.4899621974,1.4591936135521553,1.3431967687071888,0.8960598810106128
LightGBM,Boosting,0.8917817112265936,0.0164727993566789,0.023617136354236,,0.0029041655101498,344332.9922158598,,,
Logistic Regression,Classical ML,0.889855694840193,0.0161094995919114,0.0199168409238617,,0.0007609136561679,1314209.5583303303,,,
MLPClassifier,Classical ML,0.9170783174244276,0.0104285239440377,0.0058978670337837,,0.0020306329611617,492457.2875188108,,,
PatchTST-style compact,Neural temporal,0.7095991012126837,0.04440054942619823,0.0675501913605,2.897522531880486,0.0078005302659483,128196.413052238,3.1568492951365115,2.960250646567188,0.8357020971030006
Persistence forecast,Persistence,,,,0.793397480886497,2.316672471477858e-06,431653594.6758488,0.8908820815229239,0.806777763412859,0.9224204564956578
Persistence risk baseline,Persistence,0.8866705107623878,0.0190169836163936,0.0190169836163936,,4.446580609920165e-06,224891908.5755547,,,
Quantile Gradient Boosting conformal,Boosting,,,,0.4390567009852377,0.007143254919778,139992.20400649967,0.4576472833207713,0.4348577950836329,0.9777183002961656
Random Forest,Tree ensemble,0.8733124433796784,0.0195225615465239,0.0342943836488717,,0.0023994249658494,416766.5229097837,,,
RandomForestRegressor,Tree ensemble,,,,0.3938162214384317,0.0038613168221179,258979.00795705745,0.4121545283746361,0.3854963928301854,0.9740340677957873
Ridge,Classical ML,,,,0.4971105209449989,0.0004994078265358,2002371.5025382375,0.5470848733821119,0.5059687746345574,0.9605076717217066
STGCN-inspired compact,Graph-temporal,0.6852501002703252,0.03533528775288994,0.051494232496914295,2.657858367631114,0.0022693734107095,440650.26728559256,2.9792768682419557,2.771671361514489,0.8280849949996798
Seasonal persistence forecast,Persistence,,,,1.7541575089849537,2.181566358217637e-06,458386239.8836269,1.809477713134883,1.7734220899866877,0.965199143421822
Seasonal previous-day risk baseline,Classical ML,0.7519815609446872,0.0417840297338288,0.0417840297338288,,5.054558119586994e-06,197841230.89313883,,,
TCN,Neural temporal,0.6803518650810326,0.037580866945226735,0.060643977395999984,2.815466593335243,0.0021462559781473,465927.64804467215,3.0255402435292775,2.800350300817,0.8161999745004755
TFT-inspired compact attention,Neural temporal,0.777913241181607,0.033805627323192824,0.04615386159929914,1.7455624744041143,0.0038721451797247,258254.77960800097,1.8532125536868957,1.7811764943279447,0.9328044437217655
Transformer Encoder,Neural temporal,0.7349098360519294,0.03875434250399286,0.05534769271658572,2.752199744940686,0.0035240919634223,283761.0398307722,3.0681148880101894,2.843390129201822,0.8165099895367347
XGBoost,Boosting,0.8886440503259252,0.0166044913256983,0.0260214540557044,,0.0016261411528998,614952.7660724542,,,
XGBoost Regressor,Boosting,,,,0.4302725746641335,0.0009446500227823,1058593.1042002323,0.4560420101669258,0.4314733593802438,0.9760204933385208
