model,model_group,Accuracy,Balanced Accuracy,Macro-F1,Weighted-F1,Precision,Recall,Specificity,ROC-AUC,PR-AUC,False Positive Rate,False Negative Rate
Persistence risk baseline,Persistence,0.9802163369389488,0.9013872047384992,0.903196334031643,0.9801717235361662,0.8207751937984497,0.812960687960688,0.9898137215163104,0.9013872047384992,0.6774081353809408,0.0101862784836896,0.1870393120393119
Seasonal previous-day risk baseline,Classical ML,0.9572492874881248,0.7915378168933673,0.7916644705222453,0.9572400006223388,0.606209652628343,0.6056511056511057,0.9774245281356292,0.7915378168933673,0.3885519030433398,0.0225754718643709,0.3943488943488942
Bayesian Ridge risk approximation,Bayesian baseline,0.9110151835863932,0.8254289237681462,0.7111166215762915,0.9253417144681828,0.3475779306307625,0.7294226044226044,0.921435243113688,0.9532801153838112,0.6168317196396749,0.0785647568863119,0.2705773955773955
Gaussian Naive Bayes,Bayesian baseline,0.858614310238504,0.90802532343229,0.6722743483373007,0.8925733082022418,0.2727588905312581,0.9634520884520884,0.8525985584124914,0.9657411037636352,0.5798954318379509,0.1474014415875086,0.0365479115479115
Logistic Regression,Classical ML,0.966482774712912,0.921629086093205,0.8602080435808745,0.968865698206009,0.640550914427636,0.8713144963144963,0.9719436758719138,0.9899359102234346,0.861891578165684,0.0280563241280862,0.1286855036855036
Random Forest,Tree ensemble,0.9724495408256804,0.9781967770023564,0.8901362673620035,0.9749109825341776,0.6666666666666666,0.9846437346437348,0.9717498193609784,0.9966520673127656,0.9409435013183024,0.0282501806390215,0.0153562653562653
Extra Trees,Tree ensemble,0.9594493241554026,0.9713236825237423,0.8515202953336789,0.964371684562039,0.5736267668634818,0.9846437346437348,0.9580036304037504,0.994870217677436,0.9172019215548952,0.0419963695962497,0.0153562653562653
HistGradientBoostingClassifier,Boosting,0.9815163586059767,0.979950548944742,0.920931015473572,0.9826318579740086,0.7542031730996922,0.9781941031941032,0.9817069946953808,0.9977782114807828,0.9629383460798948,0.018293005304619,0.0218058968058968
MLPClassifier,Classical ML,0.9772329538825648,0.9281811124912918,0.8971009055381718,0.9780502108774082,0.7489462592202318,0.8731572481572482,0.9832049768253353,0.9932324451714508,0.9087136421910422,0.0167950231746647,0.1268427518427518
XGBoost,Boosting,0.977716295271588,0.9775072375767616,0.9072401277911916,0.979318577636768,0.7158605174353205,0.9772727272727272,0.9777417478807958,0.9970813813270152,0.952451081718505,0.0222582521192041,0.0227272727272727
LightGBM,Boosting,0.9782329705495092,0.9819781778492545,0.909685734773886,0.9798276107649851,0.7180232558139535,0.9861793611793612,0.9777769945191478,0.997759852052452,0.961789615559412,0.0222230054808522,0.0138206388206388
GRU,Neural temporal,0.9527777777777777,0.8914912775112382,0.8030846569690966,0.9579093502892517,0.5119549929676512,0.8235294117647058,0.9594531432577703,0.9750422721086565,0.6922674114145387,0.040546856742229485,0.1764705882352937
Graph WaveNet-inspired compact,Graph-temporal,0.9554444444444444,0.6611693538579975,0.7007510080064238,0.9497082439610155,0.5803921568627451,0.334841628959276,0.9874970787567187,0.9430243882837258,0.5056660138582323,0.012502921243281138,0.6651583710407224
LSTM,Neural temporal,0.9493333333333334,0.8864617161154285,0.7928979331980778,0.9552131604414595,0.4904891304347826,0.8167420814479638,0.956181350782893,0.9738209016146412,0.6835670588582269,0.04381864921710679,0.18325791855203577
PatchTST-style compact,Neural temporal,0.9327777777777778,0.7844230848540541,0.7196852175677727,0.940082722176464,0.3853727144866385,0.6199095022624435,0.9489366674456646,0.9347637467628395,0.44182192825922084,0.051063332554335115,0.38009049773755565
STGCN-inspired compact,Graph-temporal,0.9431111111111111,0.6804313182658865,0.6860022415951086,0.9422271415204371,0.41545893719806765,0.3891402714932127,0.9717223650385602,0.9048190203868414,0.3758555849494869,0.028277634961439584,0.6108597285067859
TCN,Neural temporal,0.937,0.6933099034641451,0.6821059672939804,0.9388028241548881,0.374749498997996,0.4230769230769231,0.9635428838513669,0.9018115938197595,0.3826887123791148,0.036457116148632854,0.5769230769230755
TFT-inspired compact attention,Neural temporal,0.9445555555555556,0.8764398689168083,0.7784317655929447,0.951440963506014,0.4627450980392157,0.8009049773755657,0.9519747604580507,0.9684275727297049,0.6272534412591186,0.048025239541949045,0.19909502262443393
Transformer Encoder,Neural temporal,0.9405555555555556,0.7713480757863036,0.7296978527231103,0.9449854506836245,0.4236453201970443,0.583710407239819,0.9589857443327878,0.9473044723309354,0.4992497578235816,0.04101425566721196,0.41628959276018
B-TGPRF,Proposed,0.9797996633277222,0.8746774813514324,0.8959805124424085,0.979220730853496,0.8543689320388349,0.7567567567567568,0.992598205946108,0.9931458440944192,0.9035237745565298,0.0074017940538921,0.2432432432432431
