model,model_group,MAE,RMSE,sMAPE,MAPE_safe,R2,normalized_RMSE,ramp_MAE
Persistence forecast,Persistence,0.806777763412859,1.2434891084667483,0.2051962139729667,0.4835567070367138,0.9806490076960472,0.1391078441340507,0.806777763412859
Seasonal persistence forecast,Persistence,1.7734220899866877,2.727417904272007,0.3666436839941642,1.0896254877694185,0.90690579595919,0.3051134281213811,1.7734220899866877
Ridge,Classical ML,0.5059687746345574,0.7701171518476099,0.1439336374243142,0.2899329176658122,0.9925777964445712,0.0861522115431066,0.5059687746345574
ElasticNet,Classical ML,0.5032402248786875,0.7702318533619336,0.1433716494975051,0.2891630842389008,0.9925755853488056,0.0861650430832205,0.5032402248786875
RandomForestRegressor,Tree ensemble,0.3854963928301854,0.6018160351299573,0.1141265370296458,0.2125301832769398,0.9954674064221732,0.0673245391875252,0.3854963928301854
ExtraTreesRegressor,Tree ensemble,0.3748018683063728,0.5902888850759738,0.1122082853406614,0.2176385793511444,0.9956393776119246,0.0660350087991196,0.3748018683063728
HistGradientBoostingRegressor,Boosting,0.3846447108211995,0.5652575152763043,0.1156907338165545,0.2247670563774666,0.9960013631950406,0.0632347752748809,0.3846447108211995
XGBoost Regressor,Boosting,0.4314733593802438,0.6435161193468013,0.1271812012901966,0.2490462684955282,0.9948175141054488,0.0719894846029025,0.4314733593802438
Quantile Gradient Boosting conformal,Boosting,0.4348577950836329,0.6720451021545468,0.1274443493624976,0.2586930072836548,0.9943478183673734,0.0751809924872106,0.4348577950836329
GRU,Neural temporal,1.2926876251224777,1.8432514272212914,0.2663566238754258,0.7130805953235342,0.9702242904019751,0.1725563953971281,1.2926876251224777
Graph WaveNet-inspired compact,Graph-temporal,1.829349684271022,2.5429909016784764,0.332719846304056,0.8126407208016485,0.9433261684286349,0.23806266309682844,1.829349684271022
LSTM,Neural temporal,1.3431967687071888,1.9221246953056481,0.274226755668364,0.6543836449628143,0.96762154814738,0.1799401340628538,1.3431967687071888
PatchTST-style compact,Neural temporal,2.960250646567188,4.149301582916896,0.4772165428346818,1.7864613459650487,0.8491160774724238,0.3884377974648271,2.960250646567188
STGCN-inspired compact,Graph-temporal,2.771671361514489,3.931365725468294,0.4605480180158447,1.4563007957726692,0.8645497357671696,0.36803568333446957,2.771671361514489
TCN,Neural temporal,2.800350300817,3.9483547472176643,0.45851213709211747,1.3497779464569453,0.8633765355187702,0.3696261144124556,2.8003503008169996
TFT-inspired compact attention,Neural temporal,1.7811764943279447,2.6097110019413545,0.32046913489629947,0.8282561006149195,0.9403132687513164,0.2443086802336512,1.7811764943279447
Transformer Encoder,Neural temporal,2.843390129201822,4.007993376090404,0.46683105461143504,1.5194316179432452,0.8592180576961305,0.37520919801826663,2.843390129201822
B-TGPRF,Proposed,0.3650275095691107,0.5477591380099959,0.1101344280014856,0.2146076165945358,0.9962450986491896,0.0612772498564542,0.3650275095691107
