model,model_group,split,training_time_seconds,inference_time_seconds,latency_per_sample_ms,throughput_samples_per_second
Persistence risk baseline,Persistence,validation,,0.0002667903900146,4.446580609920165e-06,224891908.5755547
Persistence risk baseline,Persistence,test,,0.0002079010009765,3.4650744341822365e-06,288594089.1010042
Persistence risk baseline,Persistence,external_test,,0.0001561641693115,2.6027795348505807e-06,384204649.91761494
Seasonal previous-day risk baseline,Classical ML,validation,,0.0003032684326171,5.054558119586994e-06,197841230.89313883
Seasonal previous-day risk baseline,Classical ML,test,,0.000180959701538,3.016045293054884e-06,331560007.5047688
Seasonal previous-day risk baseline,Classical ML,external_test,,0.0002069473266601,3.449179597328289e-06,289924015.77888066
Bayesian Ridge risk approximation,Bayesian baseline,validation,,0.0618660449981689,0.0010311179352684,969821.1676821404
Bayesian Ridge risk approximation,Bayesian baseline,test,,0.0564522743225097,0.0009408869201571,1062826.975884585
Bayesian Ridge risk approximation,Bayesian baseline,external_test,,0.0533151626586914,0.0008886008543257,1125364.6619085951
Gaussian Naive Bayes,Bayesian baseline,validation,1.2752468585968018,0.0760352611541748,0.0012672754738274,789094.4160544346
Gaussian Naive Bayes,Bayesian baseline,test,1.2752468585968018,0.0733118057250976,0.0012218837934815,818408.432401494
Gaussian Naive Bayes,Bayesian baseline,external_test,1.2752468585968018,0.0794630050659179,0.0013244054911901,755055.764002737
Logistic Regression,Classical ML,validation,3.6003258228302,0.0456540584564209,0.0007609136561679,1314209.5583303303
Logistic Regression,Classical ML,test,3.6003258228302,0.0455019474029541,0.0007583784296897,1318602.904369423
Logistic Regression,Classical ML,external_test,3.6003258228302,0.0400950908660888,0.0006682626521456,1496417.6088386253
Random Forest,Tree ensemble,validation,14.418810844421388,0.1439630985260009,0.0023994249658494,416766.5229097837
Random Forest,Tree ensemble,test,14.418810844421388,0.158735990524292,0.0026456439361371,377979.812907131
Random Forest,Tree ensemble,external_test,14.418810844421388,0.2262561321258545,0.0037709983854039,265181.7629704095
Extra Trees,Tree ensemble,validation,4.860805034637451,0.1639881134033203,0.0027331807764016,365874.07925375394
Extra Trees,Tree ensemble,test,4.860805034637451,0.3012652397155761,0.0050211710147765,199156.72998532763
Extra Trees,Tree ensemble,external_test,4.860805034637451,0.1898808479309082,0.0031647335444075,315982.36817349686
HistGradientBoostingClassifier,Boosting,validation,17.79567790031433,0.2258267402648925,0.0037638417351104,265685.9853249521
HistGradientBoostingClassifier,Boosting,test,17.79567790031433,0.2108898162841797,0.0035148888528838,284504.01758209954
HistGradientBoostingClassifier,Boosting,external_test,17.79567790031433,0.2175228595733642,0.003625441416913,275828.48128090217
MLPClassifier,Classical ML,validation,24.604572057724,0.1218359470367431,0.0020306329611617,492457.2875188108
MLPClassifier,Classical ML,test,24.604572057724,0.0763893127441406,0.0012731764320095,785437.0964294635
MLPClassifier,Classical ML,external_test,24.604572057724,0.0718650817871093,0.0011977713259739,834883.9033919006
XGBoost,Boosting,validation,4.750655889511108,0.0975668430328369,0.0016261411528998,614952.7660724542
XGBoost,Boosting,test,4.750655889511108,0.0710761547088623,0.0011846223221864,844150.9004780034
XGBoost,Boosting,external_test,4.750655889511108,0.0621910095214843,0.0010365341009264,964753.5947985044
LightGBM,Boosting,validation,5.617686033248901,0.1742470264434814,0.0029041655101498,344332.9922158598
LightGBM,Boosting,test,5.617686033248901,0.1063880920410156,0.0017731644200905,563963.4929900679
LightGBM,Boosting,external_test,5.617686033248901,0.1097247600555419,0.0018287764805337,546813.6815211893
Persistence forecast,Persistence,validation,,0.0001389980316162,2.316672471477858e-06,431653594.6758488
Persistence forecast,Persistence,test,,0.0001568794250488,2.6147006624910413e-06,382452956.98487103
Persistence forecast,Persistence,external_test,,0.0001699924468994,2.8332546692344873e-06,352950975.7307445
Seasonal persistence forecast,Persistence,validation,,0.0001308917999267,2.181566358217637e-06,458386239.8836269
Seasonal persistence forecast,Persistence,test,,0.0001788139343261,2.980281910133502e-06,335538727.59480155
Seasonal persistence forecast,Persistence,external_test,,0.0002009868621826,3.3498368669911164e-06,298521999.6394087
