model,model_group,number_of_parameters,number_of_estimators,model_size_mb,memory_peak_mb
XGBoost Regressor,Boosting,,,0.23476886749267578,
LightGBM,Boosting,,,0.5410451889038086,
Extra Trees,Tree ensemble,,,49.296122550964355,
ElasticNet,Classical ML,,,0.005471229553222656,
Logistic Regression,Classical ML,,,0.0057315826416015625,
HistGradientBoostingRegressor,Boosting,,,0.7227268218994141,
Random Forest,Tree ensemble,,,15.37769603729248,
HistGradientBoostingClassifier,Boosting,,,0.6536350250244141,
Ridge,Classical ML,,,0.0053958892822265625,
XGBoost,Boosting,,,0.1969776153564453,
Gaussian Naive Bayes,Bayesian baseline,,,0.0071887969970703125,
MLPClassifier,Classical ML,,,0.16111183166503906,
B-TGPRF,Proposed,27.0,,0.25321483612060547,
B-TGPRF,Proposed,27.0,,3.3464813232421875,
