model,split,Balanced Accuracy,Macro-F1,ROC-AUC,PR-AUC,Brier Score,inference_time_seconds
LSTM,validation,0.9336065573770491,0.8291102585905921,0.9874587594429314,0.7641859280243101,0.024532116949558258,0.13603997230529785
LSTM,test,0.9054587012692012,0.7814046965123651,0.9692299611005422,0.7418717725814723,0.0371934212744236,0.17142677307128906
LSTM,external_test,0.8864617161154285,0.7928979331980778,0.9738209016146412,0.683567058858227,0.034684136509895325,0.15978693962097168
GRU,validation,0.9257413022251915,0.8194266651150162,0.9852243177963924,0.7357864141622551,0.028100233525037766,0.19107580184936523
GRU,test,0.8914761918282745,0.7994020958766205,0.973617081688861,0.7561384506923837,0.03424094617366791,0.2732398509979248
GRU,external_test,0.8914912775112382,0.8030846569690966,0.9750422721086565,0.6922674114145387,0.03524218499660492,0.2551240921020508
TCN,validation,0.6655789095020299,0.6803518650810326,0.9186571766277815,0.41241777440888566,0.03758086636662483,0.12877321243286133
TCN,test,0.7963542406087623,0.7436706457296256,0.929888412504614,0.5891232643379535,0.04393477737903595,0.12126612663269043
TCN,external_test,0.6933099034641451,0.6821059672939804,0.9018115938197595,0.38268871237911484,0.05080534517765045,0.12158417701721191
Transformer Encoder,validation,0.7914178529215273,0.7349098360519294,0.952449252274012,0.49614238406748024,0.03875434398651123,0.2114419937133789
Transformer Encoder,test,0.8043286294329766,0.7885462341538426,0.9548584570828245,0.6466381410738441,0.03029254823923111,0.27732300758361816
Transformer Encoder,external_test,0.7713480757863036,0.7296978527231103,0.9473044723309354,0.4992497578235816,0.04184326156973839,0.24442529678344727
STGCN-inspired compact,validation,0.6592682049437278,0.6852501002703252,0.916904260239478,0.4115697380976105,0.03533528745174408,0.13616013526916504
STGCN-inspired compact,test,0.80274567704932,0.7544231948967894,0.9322950680030665,0.5858776058500751,0.04064054787158966,0.13653302192687988
STGCN-inspired compact,external_test,0.6804313182658865,0.6860022415951086,0.9048190203868414,0.37585558494948695,0.04634055495262146,0.13384795188903809
Graph WaveNet-inspired compact,validation,0.6594609178272265,0.715839147032417,0.9599003032016034,0.5816112687928668,0.026031816378235817,0.1518111228942871
Graph WaveNet-inspired compact,test,0.7757645021153354,0.786736643228859,0.9480308924160253,0.6455784907934042,0.028449194505810738,0.13404393196105957
Graph WaveNet-inspired compact,external_test,0.6611693538579975,0.7007510080064238,0.9430243882837258,0.5056660138582323,0.03367127478122711,0.1757960319519043
PatchTST-style compact,validation,0.7741225140038028,0.7095991012126837,0.9395369751785806,0.4004368849452306,0.044400546699762344,0.46802401542663574
PatchTST-style compact,test,0.8118061273744286,0.762584234633924,0.9428490303529344,0.6223646968623466,0.03678316995501518,0.2583320140838623
PatchTST-style compact,external_test,0.7844230848540541,0.7196852175677727,0.9347637467628395,0.4418219282592209,0.0502280667424202,1.4917540550231934
TFT-inspired compact attention,validation,0.8825093786936635,0.777913241181607,0.9735608201860322,0.6315921129375585,0.03380562737584114,0.23232483863830566
TFT-inspired compact attention,test,0.8804920639427583,0.7764607260553535,0.9584423180669525,0.6832931802851946,0.03861033916473389,0.24569129943847656
TFT-inspired compact attention,external_test,0.8764398689168083,0.7784317655929447,0.9684275727297049,0.6272534412591187,0.039340145885944366,0.23244595527648926
