model,split,MAE,RMSE,normalized_RMSE,inference_time_seconds
LSTM,validation,1.3476232290267944,1.9362768188352966,0.19360316,0.13603997230529785
LSTM,test,1.4591935873031616,2.094480131009974,0.19374952,0.17142677307128906
LSTM,external_test,1.3431967496871948,1.9221247068867469,0.17994015,0.15978693962097168
GRU,validation,1.3235491514205933,1.8867706228513854,0.18865317,0.19107580184936523
GRU,test,1.3989343643188477,2.0029124273619425,0.18527909,0.2732398509979248
GRU,external_test,1.2926876544952393,1.843251435712211,0.1725564,0.2551240921020508
TCN,validation,2.8154664039611816,3.8711744313536567,0.38706842,0.12877321243286133
TCN,test,3.025540351867676,4.180702499786804,0.3867352,0.12126612663269043
TCN,external_test,2.8003501892089844,3.9483547454120274,0.3696261,0.12158417701721191
Transformer Encoder,validation,2.75219988822937,3.8794198210019766,0.38789284,0.2114419937133789
Transformer Encoder,test,3.068114757537842,4.230034324200116,0.3912986,0.27732300758361816
Transformer Encoder,external_test,2.8433899879455566,4.007993340827451,0.37520918,0.24442529678344727
STGCN-inspired compact,validation,2.657858371734619,3.7478165945900517,0.3747342,0.13616013526916504
STGCN-inspired compact,test,2.9792768955230713,4.16492583466404,0.38527578,0.13653302192687988
STGCN-inspired compact,external_test,2.7716715335845947,3.93136554784731,0.36803567,0.13384795188903809
Graph WaveNet-inspired compact,validation,1.8299940824508667,2.554478908037345,0.25541553,0.1518111228942871
Graph WaveNet-inspired compact,test,1.9784587621688843,2.7122993676306564,0.25090078,0.13404393196105957
Graph WaveNet-inspired compact,external_test,1.8293496370315552,2.54299087631983,0.23806266,0.1757960319519043
PatchTST-style compact,validation,2.897522211074829,4.00382216946778,0.40033153,0.46802401542663574
PatchTST-style compact,test,3.1568493843078613,4.3719827329219605,0.4044295,0.2583320140838623
PatchTST-style compact,external_test,2.9602506160736084,4.149301787321046,0.38843784,1.4917540550231934
TFT-inspired compact attention,validation,1.7455625534057617,2.5573526182246415,0.25570288,0.23232483863830566
TFT-inspired compact attention,test,1.8532127141952515,2.7041266906165897,0.25014478,0.24569129943847656
TFT-inspired compact attention,external_test,1.7811765670776367,2.6097109458435646,0.24430868,0.23244595527648926
